,Company,Origin,REF,ReviewDate,CocoaPercent,CompanyLocation,Rating,BeanType,Country,Blend,Domestic
29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,Forastero,Ecuador,1,1
30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,Forastero,Ecuador,1,1
31,Ah Cacao,Tabasco,316,2009,70.0,Mexico,3.0,Criollo,Mexico,0,1
32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75.0,Switzerland,3.75,Trinitario,Indonesia,1,0
33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75.0,Switzerland,2.75,Criollo,Madagascar,1,0
34,Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75.0,Switzerland,2.75,Forastero,Brazil,1,0
35,Alain Ducasse,Trinite,1215,2014,65.0,France,2.75,Trinitario,Trinidad,0,0
36,Alain Ducasse,Vietnam,1215,2014,75.0,France,2.75,Trinitario,Vietnam,0,0
37,Alain Ducasse,Madagascar,1215,2014,75.0,France,3.0,Trinitario,Madagascar,0,0
38,Alain Ducasse,Chuao,1061,2013,75.0,France,2.5,Trinitario,Venezuela,0,0
39,Alain Ducasse,"Piura, Perou",1173,2013,75.0,France,2.5,Unknown,Peru,1,0
40,Alexandre,"Winak Coop, Napo",1944,2017,70.0,Netherlands,3.5,Forastero,Ecuador,1,0
41,Alexandre,"La Dalia, Matagalpa",1944,2017,70.0,Netherlands,3.5,"Criollo,  Trinitario",Nicaragua,1,0
42,Alexandre,Tien Giang,1944,2017,70.0,Netherlands,3.5,Trinitario,Vietnam,0,0
43,Alexandre,"Makwale Village, Kyela",1944,2017,70.0,Netherlands,3.5,Forastero,Tanzania,1,0
44,Altus aka Cao Artisan,Momotombo,1728,2016,60.0,U.S.A.,2.75,Unknown,Nicaragua,0,0
45,Altus aka Cao Artisan,Acopagro,1728,2016,60.0,U.S.A.,3.0,Unknown,Peru,0,0
46,Altus aka Cao Artisan,CIAAB Coop,1732,2016,60.0,U.S.A.,2.5,Unknown,Bolivia,0,0
47,Altus aka Cao Artisan,Villa Andina,1732,2016,60.0,U.S.A.,2.5,Unknown,Peru,0,0
48,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60.0,U.S.A.,2.75,Unknown,Ecuador,0,0
49,Altus aka Cao Artisan,Sur del Lago,1125,2013,60.0,U.S.A.,2.5,Unknown,Venezuela,0,0
50,Altus aka Cao Artisan,Conacado,1125,2013,60.0,U.S.A.,3.0,Trinitario,Dominican Republic,0,0
51,Altus aka Cao Artisan,Bolivia,1129,2013,80.0,U.S.A.,3.25,Unknown,Bolivia,0,0
52,Altus aka Cao Artisan,Bolivia,1133,2013,60.0,U.S.A.,3.0,Unknown,Bolivia,0,0
53,Altus aka Cao Artisan,Peru,1133,2013,60.0,U.S.A.,3.25,Unknown,Peru,0,0
54,Amano,Morobe,725,2011,70.0,U.S.A.,4.0,Unknown,Papua New Guinea,0,0
55,Amano,Dos Rios,470,2010,70.0,U.S.A.,3.75,Unknown,Dominican Republic,0,0
56,Amano,Guayas,470,2010,70.0,U.S.A.,4.0,Unknown,Ecuador,0,0
57,Amano,Chuao,544,2010,70.0,U.S.A.,3.0,Trinitario,Venezuela,0,0
58,Amano,Montanya,363,2009,70.0,U.S.A.,3.0,Unknown,Venezuela,0,0
59,Amano,"Bali, Jembrana",304,2008,70.0,U.S.A.,2.75,Unknown,Indonesia,1,0
60,Amano,Madagascar,129,2007,70.0,U.S.A.,3.5,Trinitario,Madagascar,0,0
61,Amano,Cuyagua,147,2007,70.0,U.S.A.,3.0,Unknown,Venezuela,0,0
62,Amano,Ocumare,175,2007,70.0,U.S.A.,3.75,Criollo,Venezuela,0,0
63,Amatller (Simon Coll),Ghana,322,2009,70.0,Spain,3.0,Forastero,Ghana,0,0
64,Amatller (Simon Coll),Ecuador,327,2009,70.0,Spain,2.75,Unknown,Ecuador,0,0
65,Amatller (Simon Coll),Ecuador,464,2009,85.0,Spain,2.75,Unknown,Ecuador,0,0
66,Amatller (Simon Coll),Ghana,464,2009,85.0,Spain,3.0,Forastero,Ghana,0,0
67,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72.0,Peru,3.25,Unknown,Peru,1,1
68,Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73.0,Peru,3.5,Trinitario,Peru,1,1
69,Ambrosia,Belize,1494,2015,64.0,Canada,3.0,Trinitario,Belize,0,0
70,Ambrosia,Madagascar,1494,2015,66.0,Canada,3.25,Trinitario,Madagascar,0,0
71,Ambrosia,Dominican Republic,1498,2015,75.0,Canada,3.25,Unknown,Dominican Republic,0,0
72,Ambrosia,Papua New Guinea,1498,2015,63.0,Canada,3.25,Unknown,Papua New Guinea,0,0
73,Ambrosia,Venezuela,1498,2015,70.0,Canada,3.25,Unknown,Venezuela,0,0
74,Ambrosia,Peru,1498,2015,68.0,Canada,3.5,Unknown,Peru,0,0
75,Amedei,"Piura, Blanco de Criollo",979,2012,70.0,Italy,3.75,Unknown,Peru,1,0
76,Amedei,Porcelana,111,2007,70.0,Italy,4.0,Criollo,Venezuela,0,0
77,Amedei,Nine,111,2007,75.0,Italy,4.0,Blend,Unknown,1,0
78,Amedei,Chuao,111,2007,70.0,Italy,5.0,Trinitario,Venezuela,0,0
79,Amedei,Ecuador,123,2007,70.0,Italy,3.0,Trinitario,Ecuador,0,0
80,Amedei,Jamaica,123,2007,70.0,Italy,3.0,Trinitario,Jamaica,0,0
81,Amedei,Grenada,123,2007,70.0,Italy,3.5,Trinitario,Grenada,0,0
82,Amedei,Venezuela,123,2007,70.0,Italy,3.75,Trinitario,Venezuela,0,0
83,Amedei,Madagascar,123,2007,70.0,Italy,4.0,Trinitario,Madagascar,0,0
84,Amedei,Trinidad,129,2007,70.0,Italy,3.5,Trinitario,Trinidad,0,0
85,Amedei,Toscano Black,170,2007,63.0,Italy,3.5,Blend,Unknown,1,0
86,Amedei,Toscano Black,40,2006,70.0,Italy,5.0,Blend,Unknown,1,0
87,Amedei,Toscano Black,75,2006,66.0,Italy,4.0,Blend,Unknown,1,0
88,AMMA,Catongo,1065,2013,75.0,Brazil,3.25,Forastero,Brazil,0,1
89,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85.0,Brazil,2.75,Forastero,Brazil,1,1
90,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50.0,Brazil,3.75,Forastero,Brazil,1,1
91,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75.0,Brazil,3.75,Forastero,Brazil,1,1
92,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60.0,Brazil,4.0,Forastero,Brazil,1,1
93,Anahata,Elvesia,1259,2014,75.0,U.S.A.,3.0,Unknown,Dominican Republic,0,0
94,Animas,Alto Beni,1852,2016,75.0,U.S.A.,3.5,Unknown,Bolivia,0,0
95,Ara,Madagascar,1375,2014,75.0,France,3.0,Trinitario,Madagascar,0,0
96,Ara,Chiapas,1379,2014,72.0,France,2.5,Unknown,Mexico,0,0
97,Ara,Equateur,1379,2014,75.0,France,2.75,Unknown,Ecuador,0,0
98,Ara,Trincheras,1379,2014,75.0,France,3.0,Unknown,Venezuela,0,0
99,Arete,San Juan,1724,2016,70.0,U.S.A.,3.5,Trinitario,Trinidad,0,0
100,Arete,Kokoa Kamili,1724,2016,70.0,U.S.A.,3.75,Unknown,Tanzania,0,0
101,Arete,Tien Giang,1900,2016,73.0,U.S.A.,3.5,Trinitario,Vietnam,0,0
102,Arete,Hacienda Victoria,1904,2016,70.0,U.S.A.,3.25,Unknown,Ecuador,0,0
103,Arete,Costa Esmeraldas,1904,2016,70.0,U.S.A.,3.25,Unknown,Ecuador,0,0
104,Arete,Lachua,1904,2016,70.0,U.S.A.,3.5,Unknown,Guatemala,0,0
105,Arete,Rugoso,1904,2016,70.0,U.S.A.,3.75,Unknown,Nicaragua,0,0
106,Arete,"La Masica, FHIA",1908,2016,70.0,U.S.A.,3.5,Unknown,Honduras,1,0
107,Arete,"Coto Brus, Terciopelo",1908,2016,70.0,U.S.A.,4.0,Unknown,Costa Rica,1,0
108,Arete,Phantom,1924,2016,70.0,U.S.A.,4.0,Forastero,Peru,0,0
109,Arete,Elvesia,1928,2016,70.0,U.S.A.,3.75,Unknown,Dominican Republic,0,0
110,Arete,Matasawalevu,1928,2016,70.0,U.S.A.,3.25,Unknown,Fiji,0,0
111,Arete,Lam Dong,1928,2016,73.0,U.S.A.,3.25,Unknown,Vietnam,0,0
112,Arete,Fazenda Camboa,1534,2015,70.0,U.S.A.,3.5,Unknown,Brazil,0,0
113,Arete,Nacional,1534,2015,68.0,U.S.A.,3.5,Forastero,Peru,0,0
114,Arete,"Puerto Quito, heirloom",1534,2015,70.0,U.S.A.,3.75,Forastero,Ecuador,1,0
115,Arete,Oko Caribe,1598,2015,70.0,U.S.A.,3.5,Unknown,Dominican Republic,0,0
116,Arete,Maya Mountain,1598,2015,70.0,U.S.A.,3.75,Trinitario,Belize,0,0
117,Arete,Chuno,1598,2015,70.0,U.S.A.,4.0,"Criollo,  Trinitario",Nicaragua,1,0
118,Arete,Fazenda Camboa,1602,2015,75.0,U.S.A.,2.75,Unknown,Brazil,0,0
119,Arete,Guatemala,1602,2015,70.0,U.S.A.,3.25,Unknown,Guatemala,0,0
120,Arete,Camino Verde,1602,2015,75.0,U.S.A.,3.5,Unknown,Ecuador,0,0
121,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72.0,U.K.,3.25,Trinitario,Trinidad,1,0
122,Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72.0,U.K.,3.75,Unknown,Colombia,1,0
123,Artisan du Chocolat,Haiti,729,2011,72.0,U.K.,4.0,Unknown,Haiti,0,0
124,Artisan du Chocolat,Panama,745,2011,72.0,U.K.,2.75,Unknown,Panama,0,0
125,Artisan du Chocolat,Venezuela,486,2010,100.0,U.K.,1.75,Unknown,Venezuela,0,0
126,Artisan du Chocolat,Jamaica,531,2010,72.0,U.K.,3.75,Trinitario,Jamaica,0,0
127,Artisan du Chocolat,Costa Rica,600,2010,72.0,U.K.,3.25,Unknown,Costa Rica,0,0
128,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72.0,U.K.,3.25,Trinitario,Vietnam,0,0
129,Artisan du Chocolat,Bali,600,2010,72.0,U.K.,3.5,Unknown,Indonesia,0,0
130,Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75.0,U.K.,2.5,"Criollo,  Trinitario",Venezuela,1,0
131,Artisan du Chocolat,Java,355,2009,72.0,U.K.,2.75,Trinitario,Indonesia,0,0
132,Artisan du Chocolat,Brazil Rio Doce,363,2009,72.0,U.K.,1.75,Unknown,Brazil,0,0
133,Artisan du Chocolat,Madagascar,363,2009,80.0,U.K.,3.0,"Criollo,  Trinitario",Madagascar,1,0
134,Artisan du Chocolat,Peru,363,2009,75.0,U.K.,3.0,Criollo,Peru,0,0
135,Artisan du Chocolat,Dominican Republic,363,2009,72.0,U.K.,3.25,Trinitario,Dominican Republic,0,0
136,Artisan du Chocolat,Congo,300,2008,72.0,U.K.,3.75,Forastero,Congo,0,0
137,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72.0,U.K.,2.75,Trinitario,Colombia,1,0
138,Askinosie,Mababa,1780,2016,68.0,U.S.A.,3.75,Trinitario,Tanzania,0,0
139,Askinosie,"Tenende, Uwate",647,2011,72.0,U.S.A.,3.75,Trinitario,Tanzania,1,0
140,Askinosie,Cortes,661,2011,70.0,U.S.A.,3.75,Trinitario,Honduras,0,0
141,Askinosie,Davao,331,2009,77.0,U.S.A.,3.75,Trinitario,Philippines,0,0
142,Askinosie,Xoconusco,141,2007,75.0,U.S.A.,2.5,Trinitario,Mexico,0,0
143,Askinosie,San Jose del Tambo,175,2007,70.0,U.S.A.,3.0,Forastero,Ecuador,0,0
144,Bahen & Co.,Houseblend,1474,2015,80.0,Australia,3.25,Unknown,Unknown,1,0
145,Bahen & Co.,Papua New Guinea,1474,2015,70.0,Australia,3.5,Unknown,Papua New Guinea,0,0
146,Bahen & Co.,Sambirano,995,2012,70.0,Australia,3.0,Trinitario,Madagascar,0,0
147,Bahen & Co.,Bahia,999,2012,70.0,Australia,2.5,Unknown,Brazil,0,0
148,Bahen & Co.,Houseblend,999,2012,70.0,Australia,2.5,Blend,Unknown,1,0
149,Bakau,"Bambamarca, 2015",1454,2015,70.0,Peru,2.75,Unknown,Peru,1,1
150,Bakau,"Huallabamba, 2015",1454,2015,70.0,Peru,3.5,Unknown,Peru,1,1
151,Bar Au Chocolat,Bahia,1554,2015,70.0,U.S.A.,3.5,Unknown,Brazil,0,0
152,Bar Au Chocolat,Maranon Canyon,1295,2014,70.0,U.S.A.,4.0,Forastero,Peru,0,0
153,Bar Au Chocolat,Duarte Province,983,2012,70.0,U.S.A.,3.25,Unknown,Dominican Republic,0,0
154,Bar Au Chocolat,Chiapas,983,2012,70.0,U.S.A.,3.5,Unknown,Mexico,0,0
155,Bar Au Chocolat,Sambirano,983,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,0,0
156,Baravelli's,single estate,955,2012,80.0,U.K.,2.75,Unknown,Costa Rica,0,0
157,Batch,"Dominican Republic, Batch 3",1840,2016,65.0,U.S.A.,3.5,Unknown,Dominican Republic,1,0
158,Batch,Brazil,1868,2016,70.0,U.S.A.,3.75,Unknown,Brazil,0,0
159,Batch,Ecuador,1880,2016,65.0,U.S.A.,3.25,Unknown,Ecuador,0,0
160,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73.0,U.K.,3.0,Unknown,Malaysia,1,0
161,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72.0,U.K.,3.25,Unknown,Malaysia,1,0
162,Beehive,"Brazil, Batch 20316",1784,2016,80.0,U.S.A.,2.75,Unknown,Brazil,1,0
163,Beehive,"Dominican Republic, Batch 31616",1784,2016,70.0,U.S.A.,2.75,Unknown,Dominican Republic,1,0
164,Beehive,"Ecuador, Batch 31516",1784,2016,70.0,U.S.A.,2.75,Unknown,Ecuador,1,0
165,Beehive,Ecuador,1788,2016,90.0,U.S.A.,2.75,Unknown,Ecuador,0,0
166,Belcolade,Costa Rica,586,2010,64.0,Belgium,2.75,Unknown,Costa Rica,0,0
167,Belcolade,Papua New Guinea,586,2010,64.0,Belgium,2.75,Unknown,Papua New Guinea,0,0
168,Belcolade,Peru,586,2010,64.0,Belgium,2.75,Unknown,Peru,0,0
169,Belcolade,Ecuador,586,2010,71.0,Belgium,3.5,Unknown,Ecuador,0,0
170,Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70.0,U.S.A.,3.5,"Criollo,  Trinitario",Tanzania,1,0
171,Bellflower,"Alto Beni, Palos Blanco",1804,2016,70.0,U.S.A.,3.25,Unknown,Bolivia,1,0
172,Bellflower,"Oko Caribe, Duarte P.",1864,2016,70.0,U.S.A.,3.5,Unknown,Dominican Republic,1,0
173,Belyzium,"Belize south, low fermentation",1768,2016,83.0,Germany,2.75,Trinitario,Belize,1,0
174,Belyzium,Belize south,1768,2016,78.0,Germany,3.0,Trinitario,Belize,0,0
175,Belyzium,Belize south,1768,2016,83.0,Germany,3.5,Trinitario,Belize,0,0
176,Benoit Nihant,Baracoa,1141,2013,74.0,Belgium,3.5,Trinitario,Cuba,0,0
177,Benoit Nihant,Chuao,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela,0,0
178,Benoit Nihant,Cuyagua Village,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela,0,0
179,Benoit Nihant,Rio Peripa H.,1141,2013,73.0,Belgium,4.0,Trinitario,Ecuador,0,0
180,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72.0,Belgium,4.0,Trinitario,Indonesia,1,0
181,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72.0,Belgium,3.75,Trinitario,Madagascar,1,0
182,Bernachon,Nature,797,2012,55.0,France,2.75,Unknown,Unknown,0,0
183,Beschle (Felchlin),Madagascar,636,2011,64.0,Switzerland,3.0,Trinitario,Madagascar,0,0
184,Beschle (Felchlin),Maracaibo,636,2011,88.0,Switzerland,3.0,Criollo,Venezuela,0,0
185,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72.0,Switzerland,3.5,Unknown,Venezuela,1,0
186,Beschle (Felchlin),Ecuador,636,2011,72.0,Switzerland,4.0,Unknown,Ecuador,0,0
187,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70.0,Switzerland,3.25,Trinitario,Venezuela,1,0
188,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74.0,Switzerland,3.25,Criollo,Venezuela,1,0
189,Beschle (Felchlin),"Java, Grand Cru",508,2010,64.0,Switzerland,3.5,Unknown,Indonesia,1,0
190,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72.0,Switzerland,3.5,Unknown,Venezuela,1,0
191,Bisou,"Nicaragua, American style",1482,2015,76.0,U.S.A.,2.5,Unknown,Nicaragua,1,0
192,Bisou,"San Andres, American style",1486,2015,76.0,U.S.A.,2.5,Unknown,Costa Rica,1,0
193,Bisou,"San Andres, silk",1486,2015,78.0,U.S.A.,2.5,Unknown,Costa Rica,1,0
194,Bisou,Belize,1486,2015,86.0,U.S.A.,3.25,Trinitario,Belize,0,0
195,Bittersweet Origins,Ghana,963,2012,72.0,U.S.A.,3.5,Forastero,Ghana,0,0
196,Bittersweet Origins,"Bali, Singaraja",478,2010,75.0,U.S.A.,3.25,Unknown,Indonesia,1,0
197,Bittersweet Origins,2009 Hapa Nibby,502,2010,70.0,U.S.A.,3.75,Blend,Dominican Republic  Bali,1,0
198,Bittersweet Origins,"Bali, Singaraja",558,2010,65.0,U.S.A.,2.75,Unknown,Indonesia,1,0
199,Bittersweet Origins,"Sambirano, 2009",565,2010,70.0,U.S.A.,3.0,Trinitario,Madagascar,1,0
200,Bittersweet Origins,"Ocumare, prototype",565,2010,78.0,U.S.A.,3.0,Criollo,Venezuela,1,0
201,Bittersweet Origins,Puerto Plata,414,2009,75.0,U.S.A.,3.0,Unknown,Dominican Republic,0,0
202,Bittersweet Origins,Puerto Plata,414,2009,65.0,U.S.A.,3.5,Unknown,Dominican Republic,0,0
203,Bittersweet Origins,Sambirano,423,2009,75.0,U.S.A.,3.25,Trinitario,Madagascar,0,0
204,Bittersweet Origins,Sambirano,431,2009,65.0,U.S.A.,3.5,Trinitario,Madagascar,0,0
205,Bittersweet Origins,Sambirano,233,2008,71.0,U.S.A.,3.0,Trinitario,Madagascar,0,0
206,Bittersweet Origins,Bocas del Toro,233,2008,75.0,U.S.A.,3.5,Unknown,Panama,0,0
207,Bittersweet Origins,Puerto Plata,233,2008,68.0,U.S.A.,3.75,Unknown,Dominican Republic,0,0
208,Bittersweet Origins,Ankasa,256,2008,70.0,U.S.A.,3.0,Forastero,Ghana,0,0
209,Black Mountain,La Red,256,2008,70.0,U.S.A.,2.75,Unknown,Dominican Republic,0,0
210,Black Mountain,Carenero Superior,256,2008,70.0,U.S.A.,2.75,Trinitario,Venezuela,0,0
211,Black Mountain,Matiguas,256,2008,70.0,U.S.A.,3.0,Unknown,Nicaragua,0,0
212,Black River (A. Morin),Blue Mountain Region,1331,2014,70.0,U.K.,2.75,Trinitario,Jamaica,0,0
213,Blanxart,"Congo, Grand Cru",1046,2013,82.0,Spain,3.5,Forastero,Congo,1,0
214,Blanxart,Organic Dark,322,2009,72.0,Spain,2.75,Unknown,Unknown,0,0
215,Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82.0,U.S.A.,3.5,Trinitario,Madagascar,1,0
216,Blue Bandana,Lachua,1752,2016,75.0,U.S.A.,2.75,Unknown,Guatemala,0,0
217,Blue Bandana,Kokoa Kamili,1752,2016,75.0,U.S.A.,3.5,Unknown,Tanzania,0,0
218,Blue Bandana,Zorzal Reserva,1756,2016,75.0,U.S.A.,3.0,Unknown,Dominican Republic,0,0
219,Blue Bandana,Guatemala,911,2012,70.0,U.S.A.,3.5,Unknown,Guatemala,0,0
220,Blue Bandana,Madagascar,911,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,0,0
221,Bonnat,Selva Maya,1912,2016,75.0,France,3.5,Unknown,Mexico,0,0
222,Bonnat,Kaori,1339,2014,75.0,France,4.0,Unknown,Brazil,0,0
223,Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75.0,France,3.25,Unknown,Dominican Republic,1,0
224,Bonnat,Surfin,1418,2014,65.0,France,3.75,Unknown,"Venezuela, Africa, Brasil, Peru, Mex",0,0
225,Bonnat,Maragnam,1038,2013,75.0,France,3.5,Unknown,Brazil,0,0
226,Bonnat,Gabon,1042,2013,75.0,France,3.25,Unknown,Gabon,0,0
227,Bonnat,Cuba,629,2011,75.0,France,3.5,Trinitario,Cuba,0,0
228,Bonnat,"Cusco, Cacao Cusco",629,2011,75.0,France,3.5,Unknown,Peru,1,0
229,Bonnat,Piura Blanco,629,2011,75.0,France,3.5,Forastero,Peru,0,0
230,Bonnat,Libanio,629,2011,75.0,France,3.75,Unknown,Brazil,0,0
231,Bonnat,Haiti,629,2011,75.0,France,4.0,Unknown,Haiti,0,0
232,Bonnat,"Madagascar, 100% criollo",629,2011,75.0,France,4.0,Criollo,Madagascar,1,0
233,Bonnat,Juliana,672,2011,75.0,France,3.5,Unknown,Brazil,0,0
234,Bonnat,Jamaique,761,2011,75.0,France,3.25,Trinitario,Jamaica,0,0
235,Bonnat,Ivory Coast,331,2009,75.0,France,3.0,Unknown,Ivory Coast,0,0
236,Bonnat,"Porcelana, Apotequil",336,2009,75.0,France,2.75,Criollo,Peru,1,0
237,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75.0,France,3.0,Criollo,Mexico,1,0
238,Bonnat,"Xoconusco, cacao Real",395,2009,75.0,France,3.0,Criollo,Mexico,1,0
239,Bonnat,"Porcelana, Venezuela",199,2008,75.0,France,4.0,Criollo,Venezuela,1,0
240,Bonnat,Equateur,123,2007,75.0,France,2.5,Forastero,Ecuador,0,0
241,Bonnat,Trinite,24,2006,75.0,France,3.75,Trinitario,Carribean,0,0
242,Bonnat,"Ocumare, Puerto Cabello",32,2006,75.0,France,4.0,Unknown,Venezuela,1,0
243,Bonnat,"Maracaibo, El Rosario",48,2006,75.0,France,4.0,Criollo,Venezuela,1,0
244,Bonnat,Madagascar,75,2006,75.0,France,4.0,Trinitario,Madagascar,0,0
245,Bonnat,One Hundred,81,2006,100.0,France,1.5,Unknown,Unknown,0,0
246,Bonnat,Ceylan,81,2006,75.0,France,3.0,Unknown,Sri Lanka,0,0
247,Bonnat,Chuao,81,2006,75.0,France,4.0,Trinitario,Venezuela,0,0
248,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77.0,Ecuador,3.25,Forastero,Ecuador,1,1
249,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100.0,Ecuador,1.5,Forastero,Ecuador,1,1
250,Bowler Man,Maya Mountain,1267,2014,70.0,U.S.A.,2.75,Trinitario,Belize,0,0
251,Bowler Man,Conacado,1271,2014,70.0,U.S.A.,2.75,Unknown,Dominican Republic,0,0
252,Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70.0,U.S.A.,3.5,Criollo,Venezuela,1,0
253,Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70.0,U.S.A.,3.75,Unknown,Nicaragua,1,0
254,Brasstown aka It's Chocolate,Conacado,1462,2015,68.0,U.S.A.,3.75,Unknown,Dominican Republic,0,0
255,Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70.0,U.S.A.,3.75,Trinitario,Belize,0,0
256,Brasstown aka It's Chocolate,Chuao,1355,2014,70.0,U.S.A.,4.0,Trinitario,Venezuela,0,0
257,Brasstown aka It's Chocolate,Cooproagro,1125,2013,72.0,U.S.A.,3.0,Trinitario,Dominican Republic,0,0
258,Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70.0,U.S.A.,3.25,Unknown,Ecuador,1,0
259,Brasstown aka It's Chocolate,Ghana,1129,2013,75.0,U.S.A.,3.5,Forastero,Ghana,0,0
260,Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85.0,U.S.A.,3.5,Trinitario,Venezuela,1,0
261,Brazen,Elvesia P.,1514,2015,60.0,U.S.A.,3.0,Unknown,Dominican Republic,0,0
262,Brazen,Elvesia P.,1514,2015,80.0,U.S.A.,3.25,Unknown,Dominican Republic,0,0
263,Brazen,"Alta Verapaz, 2014",1514,2015,70.0,U.S.A.,3.5,Unknown,Guatemala,1,0
264,Brazen,Ambolikapiky P.,1518,2015,80.0,U.S.A.,2.75,Unknown,Madagascar,0,0
265,Brazen,Maya Mountain,1518,2015,80.0,U.S.A.,3.25,Trinitario,Belize,0,0
